model,brand,company,year,price,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,price_adj,tariff,comp_id,share,sumshare,logshare,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,brand_id,delta0,el,id,tilde_share,tilde_price,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
Focus,Ford,Ford Motor Company,2013,629000,1.6,85,5.9,150,277,hatchback,Russia,67142,0,1,0,0,1,629000,0,1,.0067142001,.1418948,-4.850502,1,0,0,0,0,0,0,0,0,39.799999,2.3841858e-08,36.599998,2497,0,2327,182.5,9.5367433e-08,170.7,3703,0,3403,11003,0,10449,4,-5.5817113,2.0196056,1,.0067142001,629000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,2.1558085e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311446.97,317553.03,.49514621,0
Cruze,Chevrolet,General Motors,2013,913000,1.6,109,7.3,140,450,sedan,Russia,54367,0,0,1,0,1,913000,0,2,.0054366998,.1418948,-5.0615544,0,1,0,0,0,0,0,0,0,39.799999,4.8000002,31.799999,2497,275,2004,182.5,26,141.89999,3703,423,3000,11003,1310,8793,1,-5.6113567,2.9352486,2,.0054366998,913000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,1.7478714e-08,-9.3748134e-11,-5.0786094e-11,-7.3882185e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314536.09,598463.88,.34450832,0
Niva,Chevrolet,General Motors,2013,519000,1.7,80,10.8,200,320,SUV,Russia,53344,1,0,0,0,1,519000,0,2,.0053344001,.1418948,-5.0805502,0,1,0,0,0,0,0,0,0,39.799999,4.7000003,31.699999,2497,304,2033,182.5,22.5,138.39999,3703,363,2940,11003,1440,8923,1,-5.4813461,1.6687303,3,.0053344001,519000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-9.3748134e-11,1.7151589e-08,-4.9830477e-11,-7.2491978e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314536.09,204463.91,.60604256,0
Nexia,Daewoo,General Motors,2013,450000,1.5,80,8.1,158,530,sedan,Uzbek,28898,0,0,1,0,0,450000,.25,2,.0028897999,.1418948,-5.6935396,0,1,0,0,0,0,0,0,0,39.799999,4.9000001,31.9,2497,304,2033,182.5,25.199999,141.10001,3703,405,2982,11003,1230,8713,2,-5.0369363,1.4504319,4,.00231184,360000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-5.0786094e-11,-4.9830477e-11,9.3143511e-09,-3.9271017e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252664.94,107335.06,.56147766,.30000001
Astra,Opel,General Motors,2013,724900,1.6,115,7.1,65,460,sedan,?,42040,0,0,1,0,0,724900,.25,2,.0042039999,.1418948,-5.3186903,0,1,0,0,0,0,0,0,0,39.799999,4.8000002,31.799999,2497,269,1998,182.5,26.199999,142.10001,3703,498,3075,11003,1300,8783,11,-5.0798645,2.3334053,5,.0033632,579920,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-7.3882185e-11,-7.2491978e-11,-3.9271017e-11,1.3532397e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252664.94,327255.06,.34855145,.30000001
Solaris,Hyundai,Hyundai Motor,2013,459000,1.4,107,5.9,160,454,sedan,Russia,113991,0,0,1,0,1,459000,0,4,.0113991,.1418948,-4.3211923,0,0,1,0,0,0,0,0,0,39.799999,6.7999997,30.199999,2497,506,1777,182.5,28.1,142.60001,3703,557,2826,11003,2035,8060,5,-4.4194427,1.4668151,6,.0113991,459000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,3.6427824e-08,-1.1682981e-10,-1.2889749e-10,-3.3084954e-10,-1.2325976e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318413.41,140586.59,.6937111,0
ix35,Hyundai,Hyundai Motor,2013,1079900,2,149,8.6,75,591,SUV,Slovakia,31706,1,0,0,0,0,1079900,.25,4,.0031705999,.1418948,-5.6008058,0,0,1,0,0,0,0,0,0,39.799999,6.1999998,29.599998,2497,464,1735,182.5,25.4,139.89999,3703,642,2911,11003,1898,7923,5,-5.6850414,3.4797342,7,.0025364798,863920,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-1.1682981e-10,1.0216543e-08,-3.5852162e-11,-9.2024069e-11,-3.4284058e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256542.22,607377.75,.23756109,.30000001
Cee'd,Kia,Hyundai Motor,2013,609900,1.4,100,6.1,150,380,hatchback,?,34981,0,1,0,0,0,609900,.25,4,.0034981,.1418948,-5.5025067,0,0,1,0,0,0,0,0,0,39.799999,6.7999997,30.199999,2497,513,1784,182.5,27.9,142.39999,3703,567,2836,11003,2109,8134,6,-5.4690776,1.9646195,8,.00279848,487920,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-1.2889749e-10,-3.5852162e-11,1.1268135e-08,-1.0152949e-10,-3.7825354e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256542.23,231377.77,.42063001,.30000001
Rio,Kia,Hyundai Motor,2013,499000,1.4,107,5.9,160,500,sedan,Russia,89788,0,0,1,0,1,499000,0,4,.0089787999,.1418948,-4.5598602,0,0,1,0,0,0,0,0,0,39.799999,6.7999997,30.199999,2497,506,1777,182.5,28.1,142.60001,3703,557,2826,11003,1989,8014,6,-4.4794579,1.5985461,9,.0089787999,499000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-3.3084954e-10,-9.2024069e-11,-1.0152949e-10,2.8763578e-08,-9.7088788e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318413.41,180586.59,.63810301,0
Sportage,Kia,Hyundai Motor,2013,889900,2,150,7.5,172,564,SUV,foreign,33451,1,0,0,0,0,889900,.25,4,.0033451,.1418948,-5.5472302,0,0,1,0,0,0,0,0,0,39.799999,6.1999998,29.599998,2497,463,1734,182.5,26.5,141,3703,545,2814,11003,1925,7950,6,-4.9950018,2.8670001,10,.00267608,711920,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-1.2325976e-10,-3.4284058e-11,-3.7825354e-11,-9.7088788e-11,1.0776943e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256542.23,455377.75,.2882821,.30000001
