model,brand,firm,year,price,price_adj,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,tariff,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,share,sumshare,logshare,share_group,share_ingroup,logshare_ingroup,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,engine_gp,engine_iv_gp,horsepower_gp,horsepower_iv_gp,fuelcons_gp,fuelcons_iv_gp,clearance_gp,clearance_iv_gp,trunk_gp,trunk_iv_gp,el,id,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
Focus,Ford,Ford Motor firm,2013,629000,629000,1.6,85,5.9,150,277,hatchback,Russia,67142,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0067142001,.1418948,-4.850502,.092357799,.072697707,-2.6214454,39.799999,2.3841858e-08,38.200001,2497,0,2412,182.5,9.5367433e-08,176.60001,3703,0,3553,11003,0,10726,26.799999,9.7999992,1818,509,118.5,52.199997,2368,1035,7946,2503,1.6487948,1,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,2.0523569e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327145.84,301854.16,.52010471,0
Cruze,Chevrolet,General Motors,2013,913000,913000,1.6,109,7.3,140,450,sedan,Russia,54367,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0054366998,.1418948,-5.0615544,.092357799,.058865629,-2.8324978,39.799999,4.8000002,33.399998,2497,275,2113,182.5,26,149.2,3703,423,3140,11003,1310,9243,26.799999,9.7999992,1794,485,117.1,50.799999,2378,1045,7773,2330,2.3963206,2,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,1.6672223e-08,-7.6535459e-11,-1.2134219e-10,-1.7652521e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333577.75,579422.25,.36536446,0
Niva,Chevrolet,General Motors,2013,519000,519000,1.7,80,10.8,200,320,SUV,Russia,53344,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0053344001,.1418948,-5.0805502,.049536999,.10768517,-2.2285433,39.799999,4.7000003,33.399998,2497,304,2113,182.5,22.5,149.2,3703,363,3140,11003,1440,9243,9.6999998,26.699999,514,1823,47.299999,113.6,985,2318,2460,7903,1.3623421,3,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-7.6535459e-11,1.6237660e-08,-4.0681326e-11,-5.9182048e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332144.09,186855.91,.63996935,0
Nexia,Daewoo,General Motors,2013,450000,450000,1.5,80,8.1,158,530,sedan,Uzbek,28898,0,0,1,0,0,.25,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0028897999,.1418948,-5.6935396,.092357799,.031289183,-3.4644828,39.799999,4.9000001,33.399998,2497,304,2113,182.5,25.199999,149.2,3703,405,3140,11003,1230,9243,26.9,9.8999996,1823,514,116.3,50,2360,1027,7693,2250,1.1841246,4,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-1.2134219e-10,-4.0681326e-11,8.9187262e-09,-9.3829444e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333577.72,116422.28,.74128383,.30000001
Astra,Opel,General Motors,2013,724900,724900,1.6,115,7.1,65,460,sedan,?,42040,0,0,1,0,0,.25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.0042039999,.1418948,-5.3186903,.092357799,.045518622,-3.0896337,39.799999,4.8000002,33.399998,2497,269,2113,182.5,26.199999,149.2,3703,498,3140,11003,1300,9243,26.799999,9.7999992,1788,479,117.3,51,2453,1120,7763,2320,1.9049791,5,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,-1.7652520e-10,-5.9182048e-11,-9.3829437e-11,1.2932041e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333577.75,391322.25,.46017072,.30000001
Solaris,Hyundai,Hyundai Motor,2013,459000,459000,1.4,107,5.9,160,454,sedan,Russia,113991,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0113991,.1418948,-4.3211923,.092357799,.12342325,-2.0921357,39.799999,6.7999997,31.599998,2497,506,1884,182.5,28.1,148.5,3703,557,2986,11003,2035,8514,27,10,1796,487,118.5,52.199997,2358,1025,7769,2326,1.1974998,6,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,3.4431633e-08,-2.7913910e-10,-3.0797215e-10,-7.9049206e-10,-2.9450203e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347962.88,111037.13,.75808907,0
ix35,Hyundai,Hyundai Motor,2013,1079900,1079900,2,149,8.6,75,591,SUV,Slovakia,31706,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0031705999,.1418948,-5.6008058,.092357799,.03432953,-3.3717494,39.799999,6.1999998,31.599998,2497,464,1884,182.5,25.4,148.5,3703,642,2986,11003,1898,8514,26.4,9.3999996,1754,445,115.8,49.5,2443,1110,7632,2189,2.8408356,7,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-2.7913907e-10,9.7784767e-09,-8.5660840e-11,-2.1987123e-10,-8.1914205e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347962.88,731937.13,.32221767,.30000001
Cee'd,Kia,Hyundai Motor,2013,609900,609900,1.4,100,6.1,150,380,hatchback,?,34981,0,1,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0034981,.1418948,-5.5025067,.092357799,.037875522,-3.2734501,39.799999,6.7999997,31.599998,2497,513,1884,182.5,27.9,148.5,3703,567,2986,11003,2109,8514,27,10,1803,494,118.3,52,2368,1035,7843,2400,1.6039045,8,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-3.0797215e-10,-8.5660840e-11,1.0779675e-08,-2.4258234e-10,-9.0375346e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347962.88,261937.13,.57052445,.30000001
Rio,Kia,Hyundai Motor,2013,499000,499000,1.4,107,5.9,160,500,sedan,Russia,89788,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0089787999,.1418948,-4.5598602,.092357799,.09721756,-2.3308039,39.799999,6.7999997,31.599998,2497,506,1884,182.5,28.1,148.5,3703,557,2986,11003,1989,8514,27,10,1796,487,118.5,52.199997,2358,1025,7723,2280,1.3050442,9,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-7.9049206e-10,-2.1987123e-10,-2.4258234e-10,2.7288820e-08,-2.3197226e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347962.88,151037.13,.6973204,0
Sportage,Kia,Hyundai Motor,2013,889900,889900,2,150,7.5,172,564,SUV,foreign,33451,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0033451,.1418948,-5.5472302,.092357799,.036218923,-3.3181736,39.799999,6.1999998,31.599998,2497,463,1884,182.5,26.5,148.5,3703,545,2986,11003,1925,8514,26.4,9.3999996,1753,444,116.9,50.599998,2346,1013,7659,2216,2.3406029,10,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,-2.9450206e-10,-8.1914205e-11,-9.0375346e-11,-2.3197226e-10,1.0312146e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347962.88,541937.13,.39101344,.30000001
