model,brand,firm,year,configdeschref,rating,price,price_adj,configuration,period,drive,body,engine_sm,acceleration,clearance,maxspeed,country,seats,size,wheelbase,weight,fuelcons_city,fuelcons_rural,fuelcons_mix,ac,month_start,month_end,year_start,year_end,drive1,drive2,body1,body2,body3,body4,body_SUV,body_hatch,transmission,extra,engine,russia_prod,russia_prod_alt,length,width,height,fuelcons,trunk,horsepower,size2,gen,restyle,russia,months_sold,mainid,quantity,model_orig,brand_orig,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,europe,japan,usa,korea,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,tariff_sh,tax_var,euro,price_euro,tax_fixed,tariff_min,share,sumshare,outshare,logshare,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,alpha,a,delta0,el,id,tilde_share,tilde_price,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup_pure,mc,margins,lnmc
Focus,Ford,Ford Motor firm,2013,https://www.drom.ru/catalog/ford/focus/64606/,8.3000002,589,589,1.6 MT Ambiente,июль 2011 - февраль 2014,Передний,Седан,1596,14.9,150,172,Россия,4,4534 x 1823 x 1484,2648,1290,8.3999996,4.6999998,"6,0",0,7,2,2011,2014,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4534,1823,1484,6,372,85,8.2654819,3,,1,12,11,67142,Focus,Ford,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,18494.098,0,0,.014831406,.31344008,.68655992,-3.8349466,40.200001,0,38.600002,2531,0,2446,181.60001,0,175.60001,4181,0,4031,11280,0,10908,-.00080897001,1,-4.4778337,-.46941641,1,.014831406,589,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,.000011820213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254.7494,-665.74939,2.1303046,
Cruze,Chevrolet,General Motors,2013,https://www.drom.ru/catalog/chevrolet/cruze/94244/,8.3000002,913,913,1.6 MT LS,январь 2013 - октябрь 2015,Передний,Седан,1598,12.5,140,185,Россия,4,4597 x 1797 x 1477,2685,1285,8.6000004,5.0999999,"7,3",0,1,10,2013,2015,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4597,1797,1477,7.3,450,109,8.2608089,1,1,1,12,1,54367,Cruze,Chevrolet,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,28667.42,0,0,.012009459,.31344008,.68655992,-4.0459991,40.200001,4.8000002,33.799999,2531,275,2147,181.60001,25,149.3,4181,523,3518,11280,1310,9520,-.00080897001,1,-4.7399402,-.72971952,2,.012009459,913,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,9.5986161e-06,-1.1447996e-07,-6.2017129e-08,-9.0220780e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.2826,-372.28259,1.4077575,
Niva,Chevrolet,General Motors,2013,https://www.drom.ru/catalog/chevrolet/niva/68040/,7.4000001,519,519,1.7 MT L,апрель 2009 - март 2015,Полный (4WD),SUV,1690,19,200,140,Россия,5,4056 x 1800 x 1652,2450,1410,14.1,8.8000002,"10,8",0,4,3,2009,2015,0,1,1,0,0,0,1,0,0,1,1.7,1,1,4056,1800,1652,10.8,320,80,7.3007998,1,1,1,12,3,53344,Niva,Chevrolet,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,16296.157,0,0,.011783482,.31344008,.68655992,-4.0649948,40.200001,4.6999998,33.799999,2531,304,2147,181.60001,21.5,149.3,4181,463,3518,11280,1440,9520,-.00080897001,1,-4.421206,-.41490808,3,.011783482,519,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,-1.1447996e-07,9.4201569e-06,-6.0850184e-08,-8.8523137e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.2826,-766.28259,2.4764597,
Nexia,Daewoo,General Motors,2013,https://www.drom.ru/catalog/daewoo/nexia/68077/,7.1999998,259,259,1.5 SOHC MT LOW COST,июнь 2008 - август 2013,Передний,Седан,1498,12.5,158,175,Узбекистан,4,4516 x 1662 x 1393,2340,969,8.5,7.6999998,,0,6,8,2008,2013,1,0,0,1,0,0,0,0,0,0,1.5,0,0,4516,1662,1393,7.6,530,80,7.5055919,1,1,0,8,8,28898,Nexia,Daewoo,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.25,64750,31.848,8132.3789,284900,64750,.0063834554,.31344008,.68655992,-4.6779838,40.200001,4.9000001,33.799999,2531,304,2147,181.60001,24.699999,149.3,4181,505,3518,11280,1230,9520,-.00080897001,1,-4.2108736,-.20818575,4,.0051067644,207.2,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,-6.2017129e-08,-6.0850184e-08,5.1310594e-06,-4.7955563e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038.0547,-830.85468,4.0079331,
Astra,Opel,General Motors,2013,https://www.drom.ru/catalog/opel/astra/70092/,8.3999996,829.9,829.90002,1.6 MT Essentia,сентябрь 2012 - август 2015,Передний,Седан,1598,11.9,165,193,"Россия, Польша",4,4658 x 1814 x 1500,2685,1405,8.6999998,5.3000002,"6,6",1,9,8,2012,2015,1,0,0,1,0,0,0,0,0,0,1.6,1,0,4658,1814,1500,6.6,460,115,8.4496117,4,1,1,12,52,42040,Astra,Opel,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,26058.152,0,0,.0092864716,.31344008,.68655992,-4.3031349,40.200001,4.8000002,33.799999,2531,269,2147,181.60001,25.699999,149.3,4181,498,3518,11280,1300,9520,-.00080897001,1,-4.6727147,-.6651296,5,.0092864716,829.90002,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,-9.0220780e-08,-8.8523137e-08,-4.7955563e-08,7.4427126e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.2826,-455.38257,1.5487198,
Solaris,Hyundai,Hyundai Motor,2013,https://www.drom.ru/catalog/hyundai/solaris/66674/,8.6000004,459,459,1.4 MT Classic,январь 2011 - май 2014,Передний,Седан,1396,12.1,160,190,Российская Федерация,4,4370 x 1700 x 1470,2570,1173,7.5999999,4.9000001,"5,9",0,1,5,2011,2014,1,0,0,1,0,0,0,0,0,0,1.4,1,1,4370,1700,1470,5.9,454,107,7.4289999,1,,1,12,15,113991,Solaris,Hyundai,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,14412.208,0,0,.025180167,.31344008,.68655992,-3.3056369,40.200001,6.7999997,32,2531,507,1917,181.60001,27.000002,148.70001,4181,652,3369,11280,2035,8791,-.00080897001,1,-4.3726678,-.36196741,6,.025180167,459,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,.00001985708,-1.4266601e-07,-4.0401486e-07,-1.5051791e-07,-1.5740238e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.2847,-862.28467,2.8786159,
ix35,Hyundai,Hyundai Motor,2013,https://www.drom.ru/catalog/hyundai/ix35/96797/,8.6000004,889,889,2.0 MT 2WD Start,сентябрь 2012 - сентябрь 2013,Передний,SUV,1995,10.4,170,181,Словакия,5,4410 x 1820 x 1660,2640,1380,9.8000002,6.0999999,"7,5",1,9,9,2012,2013,1,0,1,0,0,0,1,0,0,0,2,0,0,4410,1820,1660,7.5,591,150,8.0262003,1,,0,9,20,31706,ix35,Hyundai,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.25,222250,31.848,27913.842,0,0,.0070037316,.31344008,.68655992,-4.5852504,40.200001,6.1999998,32,2531,464,1917,181.60001,25.400002,148.70001,4181,642,3369,11280,1898,8791,-.00080897001,1,-4.7205248,-.71413743,7,.0056029852,711.20001,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,-1.4266601e-07,5.6261269e-06,-1.1237462e-07,-4.1865768e-08,-4.3780648e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.0566,-362.85663,1.2081627,
Rio,Kia,Hyundai Motor,2013,https://www.drom.ru/catalog/kia/rio/93690/,8.5,499.9,499.89999,1.4 MT Comfort,август 2011 - май 2014,Передний,Седан,1396,11.5,160,190,Россия,4,4370 x 1700 x 1470,2570,1115,7.5999999,4.9000001,"5,9",1,8,5,2011,2014,1,0,0,1,0,0,0,0,0,0,1.4,1,1,4370,1700,1470,5.9,500,107,7.4289999,3,,1,12,23,89788,New Rio,KIA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,15696.434,0,0,.019833818,.31344008,.68655992,-3.5443051,40.200001,6.7999997,32,2531,507,1917,181.60001,27.000002,148.70001,4181,652,3369,11280,1989,8791,-.00080897001,1,-4.4057546,-.39638323,8,.019833818,499.89999,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,-4.0401486e-07,-1.1237462e-07,.000015726731,-1.1855937e-07,-1.2398210e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.2847,-821.38464,2.6430979,
Sportage,Kia,Hyundai Motor,2013,https://www.drom.ru/catalog/kia/sportage/94140/,8.5,889.9,889.90002,2.0 MT 2WD Classic,март 2010 - март 2014,Передний,SUV,1998,10.4,172,184,"Южная Корея, Словакия",5,4440 x 1855 x 1645,2640,1380,9.8000002,6.0999999,"7,5",1,3,3,2010,2014,1,0,1,0,0,0,1,0,0,0,2,0,0,4440,1855,1645,7.5,564,150,8.2362003,3,,0,12,28,33451,Sportage,KIA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.25,222475,31.848,27942.1,0,0,.0073891953,.31344008,.68655992,-4.5316749,40.200001,6.1999998,32,2531,464,1917,181.60001,25.400002,148.70001,4181,640,3369,11280,1925,8791,-.00080897001,1,-4.7212529,-.71458292,9,.0059113563,711.92004,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,-1.5051791e-07,-4.1865768e-08,-1.1855937e-07,5.9334675e-06,-4.6190198e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.0568,-362.13672,1.2069409,
cee'd,Kia,Hyundai Motor,2013,https://www.drom.ru/catalog/kia/cee~d/96846/,8.6000004,609.9,609.90002,1.4 MT Classic,июль 2012 - апрель 2014,Передний,Хэтчбек,1396,12.8,150,182,"Россия, Словакия",5,4310 x 1780 x 1470,2650,1258,8.1000004,4.9000001,"6,1",1,7,4,2012,2014,1,0,0,0,0,1,0,1,0,0,1.4,1,0,4310,1780,1470,6.1,380,100,7.6718001,2,,1,12,33,34981,New Cee'd,KIA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,19150.34,0,0,.0077271666,.31344008,.68655992,-4.4869514,40.200001,6.7999997,32,2531,514,1917,181.60001,26.800001,148.70001,4181,662,3369,11280,2109,8791,-.00080897001,1,-4.4947414,-.48957831,10,.0077271666,609.90002,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,-1.5740238e-07,-4.3780648e-08,-1.2398210e-07,-4.6190198e-08,6.2027430e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.2847,-711.38464,2.1663954,
